,Job Name,company_name,location,Job Post,Salary
83,Junior Social Media Marketing Specialist,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
84,Telecaller,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
85,Customer Service Associate,QuickSort Solutions,Gurgaon,1 week ago,"₹ 2,50,000 - 4,00,000                                        

                                        ₹ 2,50,000 - 4,00,000 /year"
86,English Teacher,PlanetSpark,Work from home,1 week ago,"₹ 3,00,000 - 5,00,000                                        

                                        ₹ 3,00,000 - 5,00,000 /year"
87,Junior Motion Graphics Executive,ASMACS Skill Development Limited,Mumbai,1 week ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
88,Associate Content Writer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
89,Graphic Designer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
90,Associate Videographer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
91,Associate - Customer Success,Media.net,Bangalore,1 week ago,"₹ 4,00,000 - 4,50,000                                        

                                        ₹ 4,00,000 - 4,50,000 /year"
92,Associate JavaScript Developer,ASMACS Skill Development Limited,Mumbai,1 week ago,"₹ 2,40,000                                        

                                        ₹ 2,40,000 /year"
93,Associate - Sales,Media.net,Mumbai,1 week ago,"₹ 4,00,000 - 6,00,000                                        

                                        ₹ 4,00,000 - 6,00,000 /year"
94,Data Entry Associate,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
95,Corporate Sales Associate,QuickSort Solutions,Bangalore,1 week ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
96,Junior Software Developer,ASMACS Skill Development Limited,Mumbai,3 days ago,"₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
97,English Tutor-WFH,PlanetSpark,Work from home,2 days ago,"₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
98,Business Development Associate,Bizknowmics,Chennai,3 weeks ago,"₹ 2,40,000 - 3,60,000                                        

                                        ₹ 2,40,000 - 3,60,000 /year"
99,Telecaller,Dare2Gear,Noida,3 weeks ago,"₹ 2,40,000 - 3,50,000                                        

                                        ₹ 2,40,000 - 3,50,000 /year"
100,Corporate Sales Executive,Jatin Glass Company,Chandigarh,2 weeks ago,"₹ 2,00,000 - 2,25,000                                        

                                        ₹ 2,00,000 - 2,25,000 /year"
101,Junior Interior Designer,G2Design Interior,Pune,3 weeks ago,"₹ 2,40,000 - 2,80,000                                        

                                        ₹ 2,40,000 - 2,80,000 /year"
102,Academic Associate - Finance,Midha Education Private Limited,Ranchi,1 week ago,"₹ 4,00,000                                        

                                        ₹ 4,00,000 /year"
103,Behavioural Therapist,Leap Skills,Pune,7 days ago,"₹ 2,00,000                                        

                                        ₹ 2,00,000 /year"
104,Operations Manager (Procurement),BioFics Private Limited,Surat,"6 days ago


Be an early applicant","₹ 2,16,000 - 2,50,000                                        

                                        ₹ 2,16,000 - 2,50,000 /year"
105,Junior Travel & Tourism Executive,Bulls Travelism Private Limited,Delhi,3 days ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
106,SEO Executive,Hiigher®,Indore,"2 days ago


Be an early applicant","₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
107,Field Sales Executive,QuickSort Solutions,Pune,2 weeks ago,"₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
108,Online English Faculty,PlanetSpark,Lucknow,"3 weeks ago


Be an early applicant","₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
109,Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 2,00,000 - 2,40,000                                        

                                        ₹ 2,00,000 - 2,40,000 /year"
110,Executive - Content Operations (Contractual),Saregama India Limited,Mumbai,3 weeks ago,"₹ 3,00,000 - 4,00,000                                        

                                        ₹ 3,00,000 - 4,00,000 /year"
111,Trainee Engineer_Civil (only Freshers),NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 4,80,000                                        

                                        ₹ 4,80,000 /year"
112,Junior Mechanical Engineer,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
113,Video Editor,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
114,Junior Recruitment Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
115,Junior Recruiter,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
116,Telecaller,ASMACS Skill Development Limited,Mumbai,"2 weeks ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
117,Corporate Sales Executive,ASMACS Skill Development Limited,Mumbai,"2 weeks ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
118,Digital Marketing Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
119,Corporate Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,2 weeks ago,"₹ 2,00,000 - 2,50,000                                        

                                        ₹ 2,00,000 - 2,50,000 /year"
120,Corporate Sales Executive,QuickSort Solutions,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
121,Animator,Saregama India Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 2,16,000                                        

                                        ₹ 2,00,000 - 2,16,000 /year"
122,Data Entry Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
123,Customer Service Executive,QuickSort Solutions,Navi Mumbai,2 weeks ago,"₹ 2,00,000 - 2,50,000                                        

                                        ₹ 2,00,000 - 2,50,000 /year"
124,Video Editor,Saregama India Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 2,40,000                                        

                                        ₹ 2,00,000 - 2,40,000 /year"
125,Customer Service Executive,QuickSort Solutions,Gurgaon,2 weeks ago,"₹ 2,50,000 - 4,00,000                                        

                                        ₹ 2,50,000 - 4,00,000 /year"
126,Online English Tutor,PlanetSpark,Work from home,2 weeks ago,"₹ 3,00,000 - 5,00,000                                        

                                        ₹ 3,00,000 - 5,00,000 /year"
127,Junior Software Developer,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
128,Compliance Operations Analyst,Media.net,Mumbai,2 weeks ago,"₹ 3,00,000 - 3,00,001                                        

                                        ₹ 3,00,000 - 3,00,001 /year"
129,Associate Creative Writer,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,2 weeks ago,"₹ 3,00,000 - 3,60,000                                        

                                        ₹ 3,00,000 - 3,60,000 /year"
130,Corporate Sales Trainee,NoBroker Technologies Solutions Private Limited,Work from home,1 week ago,"₹ 2,00,000 - 2,01,000                                        

                                        ₹ 2,00,000 - 2,01,000 /year"
131,Corporate Sales Associate,QuickSort Solutions,Gurgaon,1 week ago,"₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
132,Junior Social Media Marketing Specialist,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
133,Telecaller,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
134,Customer Service Associate,QuickSort Solutions,Gurgaon,1 week ago,"₹ 2,50,000 - 4,00,000                                        

                                        ₹ 2,50,000 - 4,00,000 /year"
135,English Teacher,PlanetSpark,Work from home,1 week ago,"₹ 3,00,000 - 5,00,000                                        

                                        ₹ 3,00,000 - 5,00,000 /year"
136,Junior Motion Graphics Executive,ASMACS Skill Development Limited,Mumbai,1 week ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
137,Associate Content Writer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
138,Graphic Designer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
139,Associate Videographer,ASMACS Skill Development Limited,Mumbai,"1 week ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
140,Associate - Customer Success,Media.net,Bangalore,1 week ago,"₹ 4,00,000 - 4,50,000                                        

                                        ₹ 4,00,000 - 4,50,000 /year"
